order_id,customer_id,order_date,ship_date,status,payment_mode,discount_pct
1001,295,2024-07-23,2024-07-27,Delivered,COD,5
1002,628,2022-12-25,2022-12-31,Delivered,UPI,25
1003,443,2024-07-26,2024-07-27,Delivered,Debit Card,25
1004,403,2022-03-31,2022-04-06,Delivered,COD,5
1005,551,2023-08-21,2023-08-25,Delivered,UPI,5
1006,422,2022-09-06,2022-09-11,Returned,UPI,0
1007,785,2023-10-30,2023-11-04,Delivered,UPI,5
1008,46,2024-08-04,2024-08-08,Delivered,Credit Card,15
1009,352,2024-03-28,,Cancelled,UPI,0
1010,257,2022-08-23,2022-08-27,Delivered,UPI,15
1011,473,2022-05-20,2022-05-22,Delivered,Debit Card,15
1012,483,2023-07-26,,Shipped,UPI,0
1013,622,2022-07-25,2022-07-27,Delivered,UPI,10
1014,80,2022-01-23,2022-01-25,Delivered,UPI,10
1015,222,2022-03-12,,Cancelled,Credit Card,15
1016,714,2022-04-08,,Shipped,COD,0
1017,400,2023-09-24,2023-10-01,Delivered,Credit Card,0
1018,387,2023-02-18,,Pending,UPI,5
1019,205,2022-07-07,2022-07-10,Delivered,UPI,0
1020,841,2023-01-29,2023-02-05,Delivered,UPI,0
1021,856,2022-12-10,2022-12-11,Delivered,UPI,20
1022,836,2023-11-01,2023-11-03,Delivered,Credit Card,25
1023,957,2024-03-20,,Pending,UPI,5
1024,109,2024-01-01,2024-01-02,Delivered,UPI,10
1025,399,2023-03-12,2023-03-18,Delivered,UPI,5
1026,639,2024-01-26,2024-01-29,Delivered,COD,10
1027,786,2024-10-20,2024-10-27,Returned,UPI,20
1028,945,2022-12-18,2022-12-24,Delivered,UPI,10
1029,714,2024-03-06,2024-03-09,Delivered,Net Banking,0
1030,180,2023-10-14,2023-10-17,Returned,Debit Card,0
1031,19,2024-07-08,2024-07-13,Delivered,Debit Card,5
1032,602,2022-01-28,2022-01-31,Delivered,Credit Card,0
1033,243,2024-05-27,2024-05-29,Delivered,Credit Card,0
1034,384,2024-10-18,2024-10-24,Delivered,UPI,5
1035,39,2023-05-03,,Pending,Credit Card,15
1036,757,2023-11-05,2023-11-10,Delivered,UPI,0
1037,811,2024-04-29,2024-05-01,Delivered,UPI,0
1038,868,2023-11-10,2023-11-16,Delivered,UPI,0
1039,255,2023-04-01,2023-04-03,Delivered,UPI,10
1040,453,2022-01-13,2022-01-14,Delivered,Credit Card,5
1041,650,2022-10-17,,Pending,UPI,0
1042,607,2023-02-23,2023-02-26,Delivered,UPI,15
1043,169,2023-02-09,2023-02-12,Delivered,UPI,5
1044,293,2024-07-07,2024-07-08,Returned,UPI,15
1045,974,2024-01-07,2024-01-11,Delivered,UPI,15
1046,518,2024-06-06,2024-06-07,Delivered,COD,15
1047,781,2024-02-21,2024-02-26,Delivered,UPI,5
1048,551,2022-11-09,2022-11-13,Delivered,UPI,10
1049,314,2024-07-17,2024-07-18,Delivered,Credit Card,15
1050,342,2022-10-07,2022-10-08,Delivered,UPI,5
1051,14,2024-10-22,2024-10-26,Delivered,UPI,10
1052,963,2024-03-19,2024-03-22,Returned,UPI,15
1053,657,2022-05-26,2022-05-30,Delivered,UPI,0
1054,955,2022-11-29,2022-12-06,Delivered,Credit Card,5
1055,936,2023-12-15,2023-12-21,Delivered,Credit Card,10
1056,60,2024-02-29,,Pending,Debit Card,5
1057,490,2022-03-12,,Pending,UPI,0
1058,715,2022-10-30,2022-11-02,Delivered,Credit Card,0
1059,254,2022-11-27,2022-12-01,Delivered,Debit Card,10
1060,724,2022-06-14,2022-06-16,Delivered,UPI,10
1061,850,2024-05-24,2024-05-30,Delivered,UPI,20
1062,908,2024-02-23,2024-02-24,Delivered,Debit Card,0
1063,652,2023-12-07,,Shipped,UPI,5
1064,953,2024-03-26,2024-04-02,Delivered,UPI,0
1065,504,2022-01-04,2022-01-09,Delivered,Debit Card,10
1066,427,2023-08-14,2023-08-16,Delivered,UPI,10
1067,721,2022-10-03,2022-10-07,Delivered,UPI,0
1068,581,2023-03-12,2023-03-19,Delivered,UPI,0
1069,778,2023-01-28,2023-02-01,Delivered,COD,10
1070,642,2022-08-12,,Cancelled,UPI,5
1071,88,2024-02-13,2024-02-18,Delivered,UPI,0
1072,241,2024-09-05,2024-09-06,Delivered,Debit Card,0
1073,273,2022-01-15,2022-01-16,Delivered,Debit Card,0
1074,217,2024-12-05,,Shipped,UPI,20
1075,986,2023-06-29,,Pending,Credit Card,10
1076,619,2024-05-29,2024-06-01,Delivered,Debit Card,10
1077,837,2023-05-06,,Pending,Debit Card,10
1078,626,2022-04-28,2022-04-29,Returned,COD,0
1079,468,2024-04-02,2024-04-03,Delivered,COD,0
1080,617,2022-09-09,,Cancelled,UPI,5
1081,378,2024-07-14,2024-07-19,Delivered,Debit Card,15
1082,424,2023-01-20,2023-01-21,Delivered,Credit Card,10
1083,649,2024-01-08,,Cancelled,Net Banking,10
1084,695,2024-06-28,2024-07-05,Delivered,Credit Card,25
1085,84,2023-12-15,2023-12-21,Delivered,COD,15
1086,878,2022-07-25,2022-07-31,Delivered,UPI,5
1087,147,2024-12-01,,Cancelled,Debit Card,20
1088,33,2022-09-19,2022-09-26,Delivered,UPI,20
1089,479,2022-12-11,,Cancelled,Net Banking,15
1090,679,2023-05-09,2023-05-10,Delivered,UPI,0
1091,446,2022-03-01,2022-03-08,Delivered,COD,10
1092,288,2023-03-28,2023-04-03,Delivered,Debit Card,0
1093,140,2024-12-30,2025-01-06,Delivered,Credit Card,10
1094,230,2022-05-13,2022-05-19,Delivered,UPI,10
1095,658,2024-06-13,,Shipped,UPI,0
1096,298,2022-06-29,2022-07-01,Delivered,UPI,25
1097,763,2022-08-26,2022-08-30,Delivered,UPI,10
1098,591,2022-01-04,2022-01-11,Delivered,Credit Card,5
1099,398,2024-05-17,2024-05-22,Delivered,UPI,0
1100,680,2023-03-31,2023-04-03,Delivered,UPI,15
1101,149,2023-08-31,,Shipped,Credit Card,15
1102,151,2023-08-04,2023-08-09,Delivered,Debit Card,0
1103,328,2023-09-25,2023-10-02,Delivered,Debit Card,5
1104,724,2024-09-06,2024-09-12,Delivered,UPI,5
1105,990,2024-02-11,2024-02-18,Delivered,COD,0
1106,734,2023-03-08,,Shipped,COD,5
1107,718,2022-04-18,,Pending,Debit Card,15
